AS DIRECTED , NEW PATCH ONCE A WEEKFOR 3 WEEKS AND TAKE 1 WEEK OFF|U UTD, APP NEW PATCH Q WEEK FOR 3 WEEKS AND TK 1 WEEK OFF|PTWK|150-20MCG/24HR
TAKE 1 APP ONCE A DAY FOR FACIAL RASH APPLIED TOPICALLY|AS DIRECTED|FOAM|
TAKE 1 APP 2 TIMES A DAY FOR FEET RASH APPLIED TOPICALLY|UTD|CREA|1
TAKE 4 G 2 TIMES A DAY ORALLY|TK 1 PACKET BID|PACK|4
TAKE AS DIRECTED TWICE DAILY|TEST BID UTD|STRP|
TAKE AS DIRECTED BID AC|TEST AC BID|STRP|
TAKE 2 TABLETS AT BEDTIME.|TK 2 TS PO HS|TB24|300
TAKE 1 TABLET EVERY MORNING.| TK 1 T PO QAM|TB24|50
TAKE 2 TABS TODAY, THEN 1 TAB DAILY FOR 4 MORE DAYS|TK 2 TS TODAY, THEN 1 T D FOR 4 MORE DAYS|TABS|
TAKE XX Q AM AND PRN AS DIRECTED|TEST QAM PRN UTD|STRP|
TAKE 1 AS DIRECTED Q AM AND PRN EX|TEST ONCE IN THE MORNING PRN|MISC|
TAKE USE AS DIECTED AS DIRECTED EX|USE UTD|KIT |
TAKE FOR DIABETIC TESTING BID|TEST BID|MISC|
TAKE 1 CAP(S) 2 TIMES ADAY ORALLY|TK 1 C PO BID ( Q 12 H )|CAPS|
TAKE 2 TABLETS TWICE PER DAY, THEN TAKE 1 TABLET TWICE PER DAY AND TAPER AS DIRECTED|TK 2 TS PO BID THEN 1 T PO BID AND TAPER UTD|TABS|
TAKE ONCE A DAY AS DIRECTED|TEST ONCE A DAY|STRP|
TAKE USE AS DIECTED AS DIRECTED EX|FPD|KIT |
TAKE 1 AS DIRECTED BID AND PRN EX|TEST BID PRN|MISC|
TAKE 1 TAB AS NEEDED FOR MIGRAINE...MAY TAKE A SECOND 1 HOUR LATER AS NEEDED ORALLY|TK 1 T PO PRF MIGRAINE HA . MAY TK A SECOND T 1 HOUR LATER PRN|TABS|50
TAKE 2 TABS IN EVENING FOR PAIN/SLEEP|TK 2 TS PO QPM FOR PAIN AND SLEEP|TABS|25
TAKE 1 AS DIRECTED Q AM AND PRN EX|TEST QAM AND PRN|MISC|
TAKE 1 DAILY AS NEEDED FOR ALLERGIES PO| TK 1 T PO QD PRF ALLERGIES|TABS|10
TAKE 1 APP 2 TIMES A DAY FOR RASH APPLIED TOPICALLY|APLIQUE EN EL RASH DOS VECES AL DIA|CREA|
TAKE 1 TAB BEFORE SLEEP AS NEEDED FOR PAIN/SPASM ORALLY| TK 1 T PO  HS PRN P AND SPASM|TABS|5
TAKE 1 APP NOW AND MAY REPEAT IN 1 WEEK APPLIED TOPICALLY|APP ONCE NOW AND REPEAT IN 1 WEEK|LOTN|5
TAKE 0.15 MG ONCE, THEN CALL 911 INTRAMUSCULARLY|INJ 0.15 MG ONCE IM UTD, THEN CALL 911|DEVI|
TAKE AS DIRECTED AD LIB PO|G "KAYLANIE" UTD|SOLN|
TAKE 1 TAB 1/2 HOUR PRIOR TO ANTICIPATED SEX ORALLY|TK 1 T PO 30 MINUTES PRIOR TO ANTICIPATED SEX|TABS|10
TAKE 1 APP 2 TIMES A DAY PRN ITCHING APPLIED TOPICALLY|APPLY AA BID PRF ITCHING|CREA|
TAKE 1 TABLET TWICE DAILY.| TK 1 T PO BID|TABS|15
TAKE 1 TABLET AT BEDTIME.| TK 1 T PO QHS|TABS|100
TAKE 1 APP BID APPLIED TOPICALLY|APPLY TOPICALLY BID UTD|CREA|
TAKE APPLY TO AFFECTED SKIN THEN RINSE AFTER 5 MINUTES EVERY OTHER DAY APPLIED TOPICALLY|APP TO AFFECTED SKIN, THEN RINSE AFTER 5 MINUTES. USE QOD|LOTN|1
TAKE 1 APP 2 TIMES A DAY TO CLEANSED SKIN APPLIED TOPICALLY|APP TO CLEANSED SKIN BID|OINT|1
TAKE 1 TABLET EVERY MORNING.| TK 1 T PO QAM|TB24|300
ONE TABLET TID| TK ONE C PO TID|CAPS|100
TAKE 1 TABLET DAILY IN THE MORNING.| TK 1 T PO QAM|TABS|10
TAKE ONE OR TWO TABLETS AS NEEDED AT BEDTIME|TK 1 TO 2 TS PO QHS|TABS|150
TAKE AS DIRECTED AD LIB PO|G "ELIJAH" UTD|SOLN|
1 ORAL EVERY OTHER DAY| TK 1 T PO QOD|TABS|
TAKE 1 TAB 2 TIMES A DAY| TK 1 T PO BID|TABS|1000
1 ORAL AT BEDTIME| TK 1 T PO QHS|TABS|300 mg
TAKE 2 PUFF(S) 2 TIMESA DAY FOR WHEEZING INHALED|INL 2 PFS BID FOR WHEEZING|AERO|
TAKE 4 TAB(S) ONCE CHEWED|CSW 4 TS UTD|CHEW|4
APPLY TO AFFECTED AREA 2 TIMES A DAY.|APPLY  AA BID|CREA|
TAKE 1 TABLET 1 TIME PER DAY|TK 1 T PO D.|TABS|
TAKE 3 CC 1 TIME PER DAY 6CC'S TODAY THEN 3 CC'S X 4 DAYS|SW AND G "PARKER" 6 ML TODAY THEN SW AND G "PARKER" 3 ML PO 1 TIME PER DAY FOR 4 DAYS, DR|SUSR|
BID|APP BID|CREA|
TAKE 12.5 ML 1 TIME PER DAY FOR 10 DAYS|SW AND G "ABRIAL" 12.5 ML PO 1 TIME PER DAY FOR 10 DAYS. DR|SUSR|
TAKE 2 TABLETS BID|TK 2 TS PO BID|TABS|
APPLY FOUR TIMES PER DAY AS NEEDED|APPLY QID PRN|CREA|
APPLY 2 TIMES PER DAY|APPLY BID|GEL |
GET|ERROR|TB24|
TAKE 1 TABLET 1 TIME PER DAY FOR 10 DAYS| TK 1 T PO D FOR 10 DAYS|TABS|
25 MG IN THE MORNING FOR 1 WEEK, 25 MG BID FOR 1 WEEK, 25 MG IN THE MORNING AND 50 MG IN THE EVENING FOR 1 WEEK, THEN 50 MG BID|TK 1 T IN EVENING X 7DAYS THEN 1  BID X7DAYS THEN 1 IN AM & 2 IN PM X7DAYS THEN 2  BID|TABS|
1 TABLET BID X 5 DAYS,THEN 1 TABLET QD X 5 DAYS.|TK 1 T PO BID FOR 5 DAYS, THEN TK 1 T QD FOR 5 DAYS.|TABS|
ONE BID FOR 5 DAYS THEN 1 1/2 DAILY FOR 5 DAYS THEN 1 DAILY FOR 5 DAYS THEN 1/2 DAILY FOR 5 DAYS|TAKE 1 TABLET  TWICE DAILY FOR 5 DAYS , 1╜ TABLETS FOR 5 DAYS , 1 TABLET FOR 5 DAYS , THEN ╜ TABLET FOR 5 DAYS , THEN 1/4 TABLET DAILY FOR 5|TABS|
TAKE 1 TABLET 1 TIME PER DAY| TK 1 T PO QD|TABS|
TAKE 1 TABLET 1 TIME PER DAY 2 TABLETS TODAY THEN 1 TABLET DAILY X 4 DAYS|TK 2 TS PO TODAY, THEN TK 1 T D FOR 4 DAYS.|TABS|
TAKE 1 TABLET (ORAL) 1 TIMEPER DAY FOR 1 DAYS MAY REPEAT IN 72 HOURS IF NECESSARY.|TK ONE T 1 TIME AND MAY REPEAT IN 72 HOURS IF NECESSARY|TABS|
TAKE 1 TABLET 2 TIMES PER DAY FOR 7 DAYS| TK 1 T PO BID FOR 7 DAYS|TABS|
USE FOR CHECKING BLOOD SUGAR. CHANGED DAILY.|USE FOR CHECKING BLOOD SUGAR|MISC|
6.13047E+12|TK 1 T PO D.|TABS|Tablet(s)
APPLY BID TO BUTTOCKS|APP TO BUTTOCKS BID|CREA|
TAKE 3 CAPSULE 3 TIMES PER DAY FOR 10 DAYS|TK 3 CS PO TID X 10 DAYS|CAPS|
USE TO TEST ONE TIME PER DAY|U TO TEST ONE TIME PER DAY|STRP|
TAKE 2 TABLET 250 MG TABLET 1 TIME PER DAY FOR 1 DAYS; THEN TAKE 1 TABLET OF 250 MG TABLET 1 TIME PER DAY FOR 4 DAYS|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
APPLY AS DIRECTED 3X/ WEEK|APP UTD 3 TIMES PER WEEK|SHAM|
TAKE 1 TABLET BY MOUTH AS DIRECTED| TK 1 T PO  AS DIRECTED|TABS|
TAKE 1/2 TAB IN AM AND ONE TABLET AT HS.|TK ╜ T QAM AND 1 T QHS|TABS|
TAKE 1 NEBULIZER 4 TIMES PER DAY PRN|INHALE 1 VIAL DOSE BY NEBULIZATION QID PRN|SOLN|
TAKE 1 TABLET 3 TIMES PER DAY PRN| TK 1 T PO TID PRN|TABS|
TAKE 1 TABLET EVERY 48 HOURS|TK 1 T PO Q 48 H.|TABS|
ONE BID FOR 7 DAYS THEN ONE DAILY FOR 7 DAYS|TK 1 T PO BID FOR 7 DAYS, THEN TK 1 T D FOR 7 DAYS.|TABS|
TAKE 1 TABLET EVERY EVENING|TK ONE T PO QPM|TABS|20
ONE BY MOUTH TID|TK ONE C PO TID|CAPS|100
1 BY MOUTH EVERY MORNING ,EMPTY STOMACH| TK 1 T PO QAM ON AN EMPTY STOMACH|TABS|88
1 TWICE DAILY| TK 1 T PO BID|TBCR|10
1 QID|TK 1 T PO QID|TABS|
ONE EVERY OTHER DAY|TK 1 T PO QOD|TABS|
1/2 TABLET BY MOUTH WITH BREAKFAST INCREASE TO 1 TABLET PREMENSES|TK 1/2 A T PO DAILY WITH BREAKFAST. INCREASE TO 1 T PO DAILY PREMENSES|TABS|
USE EVERY MORNING|APPLY TOPICALLY TO AFFECTED AREAS QAM|LOTN|
TAKE AS DIRECTED|TK UTD|TABS|4
APPLY TO CLEAN DRY SKIN. 1 HOUR AFTER WASHING FACE APPLY GEL NIGHTLY|APPLY TOPICALLY TO AFFECTED AREAS 1 HOUR AFTER WASHING FACE QHS|GEL |
40 MG OR 4 TABS DAILY FOR 1 WEEK, THEN DECREASE TO 30 MG OR 3 TABS DAILY|TK 4 TS PO D FOR 1 WEEK, THEN DECREASE TO 3 TS D THEREAFTER|TABS|
APPLY TOPICALLY 2 TIMES DAILY AS NEEDED|APPLY TOPICALLY BID PRN.|CREA|
APPLY TO AFFECTED AREA 3-4 TIMES DAILY TILL CLEAR|APPLY AA 3 TO 4 TIMES DAILY UNTIL CLEAR.|POWD|
1 TABLET,ORAL, 2 TABS PO X 1 DAY, THEN 1 TAB X 4 DAYS|TK 2 TS PO AT ONCE TODAY, THEN TK 1 T PO ONCE D FOR 4 DAYS|TABS|
TAKE BY MOUTH AS INSTRUCTED PER PACKAGING.|TK UTD|TABS|
2 PUFFS BY INHALATION ROUTE TWICE ADAY.|INL 2 PFS BID|AERO|
2,000 UNITS = 2 CAP PO QDAY|TK 2 CS PO QD|CAPS|
INHALE 1-2 PUFFS EVERY 4 HOURS AS NEEDED. PATIENT WILL CALL WHEN READY FOR A REFILL|INL 1 TO 2 PFS Q 4 H PRN|AERS|
APPLY TOPICALLY TO AFFECTED AREA(S) 2 TIMES DAILY IF NEEDED FOR OTHER (SPECIFY).|APPLY TOPICALLY AA BID PRN.|POWD|
APPLY TOPICALLY TO AFFECTED AREA(S) 2 TIMES DAILY.| APP EXT AA BID|LOTN|
1 STRIP BY MISC.(NON-DRUG; COMBO ROUTE) ROUTE THREE TIMES A DAY.|USE 1 STRIP TID|STRP|
APPLY TOPICALLY DAILY (EVERY 24 HOURS).|APPLY TOPICALLY QD|CREA|
6.83899E+12|TK 1 T PO QD|TABS|Tablet(s)
6.86172E+12| TK ONE C PO Q 12 H WITH FOOD FOR 7 DAYS|CAPS|Capsule(s)
1 (ONE) TABLET, ORAL, TAB PO Q 12 PRN NAUSEA| TK 1 T PO Q 12 H PRF NAUSEA|TABS|
USE 1 STRIP AS INSTRUCTED 2 TIMES DAILY.|USE ONE STRIP AS INSTRUCTED BID|STRP|
INHALE 2 PUFFS EVERY 6 HOURS AS NEEDED FOR WHEEZING.|INHALE TWO PUFFS PO Q 6 H PRN FOR WHEEZING|AERS|
TAKE 1 TABLET DAILY FOR BLOOD PRESSURE.| TK 1 T PO D FOR BLOOD PRESSURE|TABS|5
"1 PO QD| TK 1 T PO	QD|TABS|"
TAKE 1-2 BID PRN FOR ITCH|TK 1 TO 2 TABLETS PO BID PRN FOR ITCHING|TABS|
APPLY A THIN FILM SPARINGLY BID TO AFFECTED AREAS, CAN REDUCE TO QD AS IMPROVES PRN|APPLY A THIN FILM SPARINGLY TO AFFECTED AREA BID. CAN REDUCE TO QD PRN AS IMPROVES|CREA|
TAKE ONE AND ONE HALF TABLET TWICE EVERY DAY|TK 1 AND 1/2 TABLET PO BID|TABS|
ONE TABLET DAILY| TK 1 T PO  QD|TB24|100
TAKE 2 TABLETS ON DAY 1 THEN TAKE 1 TABLET A DAY FOR 4 DAYS.|TK 2 TABLETS PO ON DAY ONE THEN TK 1 TABLET PO QD FOR 4 MORE DAYS|TABS|250
TAKE 1 TABLET TWICE DAILY WITH MEALS.| TK 1 T PO  BID WITH MEALS|TABS|6.25
MIX WITH 1 LB JAR CERAVE CREAM TO USE BID PRN ITCH OR RASH|MIX WITH 1 POUND CERAVE CREAM TO USE BID PRN FOR ITCH OR RASH|SOLN|
TAKE AS DIRECTED ON PATIENT INSTRUCTION CARD.|FPD|TABS|4
TAKE 1 TABLET BY MOUTH AS NEEDED.|TK 1 T PO PRN|TABS|
TAKE 1 TABLET 3 TIMES DAILY.| TK 1 T PO  TID|TABS|10
1 (ONE) KIT, AS DIRECTED|USE AS DIRECTED|MISC|
APPLY AND GENTLY MASSAGE INTO AFFECTED AREA(S) TWICE DAILY.|APP AND GENTLY MASSAGE INTO AFFECTED AREA(S)  BID|CREA|0.75
APPLY A SMALL AMOUNT TO THE CENTRAL FACE AND RUB IN WELL BID|APPLY SMALL AMOUNT TO THE CENTRAL FACE AND RUB IN WELL BID|CREA|
1 TOPICAL EVERY DAY| APP EXT AA  QD|GEL |2%
TAKE 1 TABLET DAILY 1 HOUR BEFORE NEEDED| TK 1 T PO  ONE HOUR BEFORE NEEDED|TABS|5
APPLY TOPICALLY 2 TIMES DAILY. APPLY TO RASH ON NECK AND FACE AND LEGS BID PRN|APPLY TO RASH ON NECK AND FACE AND LEGS BID PRN|LOTN|
TAKE ONE(1) TABLET AT THE ONSET OF HEADACHE MAY BE REPEATED AFTER 2 HOURS.| TK 1 T PO  AT ONSET OF HA. MAY REPEAT AFTER 2 H.|TABS|
1 TOPICAL EVERY DAY|APP TOPICALLY QD UTD|GEL |1.2%-0.025%
GIVE ONE PO BID X 10 DAYS| TK ONE C PO  BID FOR 10 DAYS|CAPS|
"TAKE 1 TAB DAILY AS NEEDED FOR SWELLING. DO NOT TAKE WITH HYDROCHLOROTHIAZIDE. TAKE POTASSIUM ALONG WITH FUROSEMIDE| TK 1 T PO	D PRF SWELLING. DO NOT TK WITH HYDROCHLOROTHIAZIDE. TK POTASSIUM ALONG WITH FUROSEMIDE.|TABS|"
USE AS NEEED|APPLY TO AFFECTED AREA RECTALLY PRN|CREA|
"TAKE 1 TAB BY MOUTH ONCE FOR 1 DOSE.| TK 1 T PO	ONCE FOR ONE DOSE|TABS|"
INHALE 2 PUFFSAS INSTRUCTED EVERY 4 HOURS AS NEEDED.|INHALE 2 PUFFS PO AS INSTRUCTED EVERY 4 HOURS PRN|AERS|
2 TABS ON DAY-1, FOLLOWED BY 1 TAB ON DAY 2-5 DAILY|TK 2 TS ON DAY ONE, THEN TK 1 T D ON DAYS 2-5|TABS|
TEST ONCE A DAY|U TO TEST QID|MISC|
GIVE ONE PO BID X 10 DAYS| TK ONE C PO  BID FOR 10 DAYS|CAPS|
TAKE 2 TABLET(S) BY ORAL ROUTE FOR 1 DAY.|TK 2 TS PO DAILY ON DAY 1, THEN TK 1 T PO DAILY FOR NEXT 4 DAYS|TABS|
1 TAB INTRAVAGINALLY 2X WEEK|INSERT ONE T VAGINALLY TWICE A WEEK UTD|TABS|
GIVE 1/2 TSP Q 6HRS PRN COUGH/COLD|G "ZACHARY" ╜ TEA PO Q 6 H PRF COUGH / COLD|SYRP|
TAKE 6 PILLS ON DAY 1, 5 PILLS ON DAY 2, 4 PILLS ON DAY 3, 3 PILLS ON DAY4, 2 PILLS ON DAY 5, 1 PILL ON DAY 6|TK 6 TS ON DAY 1, TK 5 ON DAY 2, TK 4 ON DAY 3, TK 3 ON DAY 4, TK 2 ON DAY 5, AND TK 1 ON DAY 6|TABS|10
TAKE ONE PO BID X 10 DAYS| TK ONE C PO  BID FOR 10 DAYS|CAPS|
ONE A DAY| TK 1 T PO  ONCE D|TABS|
APPLY TWICE DAILY TO AFFECTED AREA AS NEEDED FOR UP TO TWO WEEKS.|APP AA BID FOR UP TO 2 WEEKS|OINT|
TAKE 1 TABLET TWICE A DAY|TK 1 T PO BID|TABS|
TABLET(S) PLACE 1 TAB ON TONGUE AT ONSET OF H/A. REPEAT IN 2 HOURS IF H/A PERSISTS. MAX 20MG/DAY NOT MORE THAN 3 DAYS USAGE/WEEK.|PLACE 1 TABLET ON TONGUE AT ONSET OF HEADACHE , REPEAT IN 2 HOURS IF HEADACHE PERSISTS. MAXIMUM OF 2 TABLETS / DAY. NOT MORE THAN 3 DAYS PER WEEK|TBSO|
ONCE A WEEK|TK ONE C PO ONCE A WEEK|CAPS|50000UNIT
INJECT THREE TIMES DAILY BEFORE MEALS AS DIRECTED PER SLIDING SCALE|INJECT 3 TIMES DAILY BEFORE MEALS AS DIRECTED PER SLIDING SCALE|SOLN|
ONCE A DAY|TK 1 T PO ONCE A DAY|TABS|
1 ORAL EVERY DAY|TK 1 T PO QD|TABS|300 mg
APPL HS OS AFTER SURGERY|APP TO OS HS AFTER SURGERY|OINT|
TAKE 1 DAILY IN EVENING|TK 1 T PO D IN THE EVE|TABS|20 mg
TAKE 5 ML ONCE A DAY AS NEEDED.|G "SAGE" 5 ML PO ONCE D PRN|SYRP|
TAKE 5 MILLILITER BY ORAL ROUTE 4 TIMES EVERY FOR 24 HOURS SWISH AND SWALLOW|TK 1 T PO ONCE D|TABS|
TAKE 1 VIAL BY NEBULIZER EVERY 4 HOURS AS NEEDED FOR WHEEZING OR COUGH. 1 VIAL = 3 ML|VVN Q 4 H PRN COU OR WHEEZING|NEBU|
1 TABLET, 3 TIMES PER DAY|TK 1 T PO TID|TABS|
1 CAPSULE, 1 TIME PER DAY. TAKE AT BEDTIME|TK ONE C PO ONCE D HS|CAPS|
1 CAPLET, 1 TIME PER DAY|TK 1 T PO ONCE D|TABS|
AS DIRECTED , 40MG X2D, 30MG X2D, 20MG X2D, 10MG X2D. -START 3/11/14|TK 4 TS DAILY X2DAYS, 3 TS X2DAYS, 2 TS X2DAYS, 1 T X2DAYS. START 3-11-14|TABS|10
1 TOPICAL TWO TIMES A DAY|APP TOPICALLY AA BID|CREA|5%
TAKE ONE (1) TABLET AT BEDTIME| TK 1 T PO  HS|TABS|50 mg
TAKE 1 TABLET DAILY AS DIRECTED.| TK 1 T PO  QD AS DIRECTED|TABS|25
TAKE 1 TABLET DAILY| TK 1 T PO  QD|TABS|5
USE AS DIRECTED|USE UTD|MISC|
2 TWICE DAILY|TK 2 CS PO BID|CAPS|8
USE AS DIRECTED FOR INJECTION OF TESTOSTERONEEVERY 10 TO 14 DAYS|USE AS DIRECTED FOR INJECTION OF TESTOSTERONE EVERY 10 TO 14 DAYS.|MISC|18G X 1"
1/2 TO 1 TABLET UP TO THREE TIMES DAILY IF NEEDED, #75, REFILL X 2|TK SS TO 1 T PO UP TO 3 TIMES D IF NEEDED|TABS|10
TAKE 1 TABLET (150 MG TOTAL) BY MOUTH ONCE.|TK 1 TABLET NOW|TABS|
1 BY MOUTH TWICE A DAY FOR 7 DAYS| TK 1 T PO  BID FOR 7 DAYS|TABS|
INHALE 1 AMPULE AS DIRECTED EVERY 4 HOURS AS NEEDED FOR WHEEZING, SHORTNESS OF BREATH OR COUGH. VIA NEBULIZER|VVN UTD Q 4 H PRF WHEEZING/ SOB /COUGH|NEBU|
APPLY TO SKIN BID|APP TO SKIN BID|CREA|
APPLY A SMALL AMOUNT TO LEFT UPPER LID 3 TIMES A DAY FOR 30 DAYS|APPLY SMALL AMOUNT TO LEFT UPPER LID TID|OINT|
ONE TABLET DAILY| TK 1 T PO  D|TABS|
AS NEEDED (PRN); 2 PUFFS VIA SPACER TUBE Q 6H PRN WHEEZE|INL 2 PUFFS VIA SPACER Q 6 H PRF WHEEZE|AERO|
TAKE 1 TABLET DAILY AS DIRECTED.|TK 1 T PO QD UTD|TABS|10
TAKE AS DIRECTED ONCE A DAY ORALLY|TK 1 T UTD PO ONCE D|TABS|20
INHALE 2-3 PUFFS AS DIRECTED EVERY 4 HOURS AS NEEDED FOR WHEEZING. (HFA INHALER)|INL 2 TO 3 PUFFS PO UTD Q 4 H PRF WHEEZING|AERS|
INHALE 1 EACH AS DIRECTED ONE TIME. USE AS DIRECTED.|INL WITH INHALER UTD|DEVI|
TAKE 1 TABLET EVERY 12 HOURS DAILY.|TK 1 T PO Q 12 H|TABS|875-125
TAKE 1 TABLET DAILY FR ALLERGIES|TK 1 T PO D FOR ALLERGIES|TABS|10
TO AFFECTED AREAS BID X 2 WKS|APP AA(S) BID FOR  2 WEEKS|CREA|
ONE PO QHS|TK 1 T PO HS|TABS|40
APPLY TO AFFECTED AREA EVERY 3 HOURS AS NEEDED FOR 7 DAYS|APP  AA Q 3 HOURS PRN FOR 7 DAYS|OINT|
TAKE 2 TABLETS 1 HOUR PRIOR TO DENTAL PROCEDURE THEN TAKE 2 TABLETS 6 HOURS AFTER PROCEDURE|TK 2 TS PO 1 HOUR PRIOR TO DENTAL PROCEDURE. THEN TK 2 TS PO  6 H AFTER PROCEDURE|TABS|
TAKE 1 TABLET EVERY 12 HOURS AS NEEDED.|TK 1 T PO Q 12 H PRN|TABS|500
TAKE 1 TABLET TWICE DAILY AS NEEDED.| TK 1 T PO  BID PRN|TABS|10
TAKE 1 TABLET AT BEDTIME.|TK 1 T PO HS|TABS|100
APPLY SPARINGLY TO AFFECTED AREA(S) TWICE DAILY|APP SPARINGLY AA(S) BID|CREA|2.5
ONE PO DAILY| TK 1 T PO  ONCE D|TBEC|81
ONE PO DAILY|TK 1 T PO D|TABS|10
TAKE 1 TABLET DAILY.| TK 1 T PO  D|TABS|0.3
TAKE 1 TABLET EVERY 6 HOURS PRN NAUSEA/VOMIT| TK 1 T PO  Q 6 H PRF NAUSEA/VOMITING|TABS|25
"APPLY BID| APP EXT AA	BID|CREA|0.1"
INHALE 1-2 PUFFS EVERY 6-8 HOURS PRN COUGHING OR WHEEZING|INL 1 TO 2 PUFFS PO Q 6 TO 8 H PRF COUGHING OR WHEEZING|AERS|108 (90 Base)
INHALE 1-2 PUFFS EVERY 6-8 HOURS PRN COUGHING OR WHEEZING|INL 1 TO 2 PUFFS PO Q 6 TO 8 H PRF COUGHING/WHEEZING|AERS|108 (90 Base)
AS NEEDED (PRN); 1-2 PUFFS Q4HRS PRN|INHALE 1 TO 2 PUFFS PO Q 4 H PRN|AERS|
INHALE 2 PUFFS AS DIRECTED FOUR TIMES PER DAY AS NEEDED FOR WHEEZING. (HFA INHALER)|INL 2 PUFFS PO UTD QID PRF WHEEZING|AERS|
TAKE 1 TABLET TWICE DAILY|TK 1 T PO BID|TABS|100
ONE TABLET DAILY|TK 1 T PO D|TB24|
1 TAB DAILY.|TK 1 T PO D|TABS|
INHALE 1AMPULE AS DIRECTED EVERY 4 TO 6 HOURS AS NEEDED FOR WHEEZING. VIA NEBULIZER|VVN UTD Q 4 TO 6 H PRF WHEEZING|NEBU|
